Keyterm,Info
"H2CE 
 Revision 4 
 HAWKEYE ROTOR & WING 
 U.S. Army Model OH-13E 
 January 15, 1985",
Type Certificate Holder,"Wilbur M. Isenberg 
 d/b/a Hawkeye Rotor and Wing Flight School 
 Rural Route 2 
 Nevada, Iowa 50201"
"I - Model OH-13E (Restricted Category) approved January 30, 1974",
Engine,Franklin 0-335-5D (6V-335-A)
Fuel,91/96 minimum grade aviation gasoline
Engine Limits,Maximum continuous rpm. 3100 (210 hp.)
Rotor Limits ,"Power on (Engine Tach.) 
 Power off (Rotor Tach.)"
oper engine limits,"Maximum 3100 
 Maximum 360 
 Minimum 2900 (S.L.) 
 Minimum 322"
Airspeed limits,Vne (never exceed) 83 knots (95 mph) (See NOTE 2 for required placard)
CG range,+4.0 to -0.9 from ø rotor (83.0 to 87.9 from datum)
Datum,87.0 inches forward of main rotor mast centerline.
Maximum weight,2350 lb.
Minimum crew,1 (pilot) (+55)
Fuel capacity,29 gal. (+109)
Oil capacity,2 gal. (+90)
Control movements,(Tolerance + 1/2°)
configuration,"Reference TM-55-1520-224-20, Fig. 9-10 et el, for settings"
Serial Nos eligible,"S/N 520 (U.S. Army OH-13E, S/N 51-13879), and S/N 514"
Certification basis,"FAR 21.25(a)2 effective February 1, 1965. Type Certificate issued January 30, 1974 
 for the purpose of 
 (1) 
 Forest and Wildlife conservation 
 (2) 
 Patrolling 
 (3) 
 Search and rescue"
Page No,"1 
 2"
Rev No,"4 
 3"
Production Basis,"None. No helicopter may be produced under this approval. Prior to original 
 certification of each aircraft, an FAA Engineering and Manufacturing inspector must 
 perform inspection for airworthiness and conformity with the approved type design."
Equipment,"The basic required equipment, as prescribed in the applicable airworthiness regulations 
 (see certification basis) must be installed in the helicopter for certification. In addition, 
 equipment necessary for the particular special purpose must be installed."
NOTE 1,"Current weight and balance report including list of equipment included in certification empty weight, and 
 loading instructions when necessary must be in each helicopter at time of original airworthiness 
 certification and at all times thereafter."
NOTE 2,"All placards and markings required in the Helicopter Flight Manual, TM 55-1520-244-10, dated October 1, 
 1969, must be isntalled in the appropriate location. 
 The following placards must also be installed in clear view of the pilot: 
 (a) 
 ""This helicopter must be oeprated in accordance with the restricated category operating limitations of 
 FAR 91.39."" 
 (b) 
 ""Airspeed limits: Never exceed speed Vne 78 knots (90 mph) in external laoding configuration 
 including floats."" 
 (c) 
 ""This helicopter must be oeprated in compliance with the oeprations limitations as stated in the form of 
 placards, markings and military operators manual for OH-13E, TM 55-1520-244-10 dated October 1, 
 1969."""
NOTE 3,"Component overhaul intervals and replacement times shall be in accordance with the Bell Maintenance 
 Manual provided for each helicopter, or equivalent Department of the Army manual, unless superseded by 
 appropriate airworthiness directives applicable to Bell Model 47 series helicopters."
NOTE 4,"Prior to Civil Airworthiness Certification, the following must be accomplished. 
 (a) 
 Inspection to determine airworthiness status of all life limited parts, as determined, in accordance with 
 (b) 
 All life limited parts must be recorded with hours-time-in-service in the maintenance records. 
 (c) 
 Compliance with FAA letters dated June 12, 1973, and August 15, 1973, from Chief of Engineering 
 and Manufactuering Branch, ACE-210, FAA Central Region. 
 (d) 
 The provisions of ADs 54-24-1, 55-5-1, 55-14-1, 55-16-1, 56-15-2, 56-15-3, 56-21-1, 56-25-2, 
 57-7-2, 58-23-1, 60-10-1, 61-22-1, 70-8-2, 70-10-8, 70-11-4, 70-14-1, 70- 14-2, 72-2-5, 73-19-2, 
 73-19-4, (as applicable). 
 (e) 
 Remark engine nameplate with civil model designation as required by NOTE 7, engine type certificate 
 data sheet E-244, Rev. 17."
NOTE 5,"This model helicopter must be serviced and maintained in compliance with Department of the Army 
 Maintenance Manual TM-55-1520-244-35 dated October 1969 thru Change 3, and Organizational 
 Maintenance Manual TM-55-1520-244-20 dated October 1969 thru Change 4."
NOTE 6,"Bell Fuel Gauge Unit, Part Numbers 47-711-018-003 gauge, 047-759-060-001 resistor, D380A transmitter 
 must be isntalled and calibrated to assure fuel quantity readings."
NOTE 7,"Eligible for skid, floats and external stretcher installations when installed and operated in accordancer with 
 U.S. Department of the Army technical manual data. 
 In addition to the palcards specified above, tyhe prescribed operating limitations indicated by an asterisk (*) must also be"
