Keyterm,Info
"A-634 
 Revision 4 
 AERONCA 
 K 
 KS 
 February 23, 2022",
Type Certificate Holder,"Thomas Gores 
 12008 West Belmar Drive 
 Franklin Wisconsin 53132"
Type Certificate Holder Record,"William Gores 
 12008 West Belmar Drive 
 Franklin Wisconsin 53132"
"I - Model K, 2 PCLM; KS, 2 PCSM",
Engine,Aeronca E-113C (See Item 314 for optional engines)
Engine limits,"For all operations, 2540 rpm (40 hp)"
Propeller limits,"Maximum permissible diameter: Landplane 82 in. 
 Seaplane 98 in."
Airspeed limits CAS,"Landplane Level flight or climb 
 95 m.p.h. ( 83 knots) 
 Glide or dive 
 129 m.p.h. (112 knots) 
 Seaplane 
 Level flight or climb 
 90 m.p.h. ( 78 knots) 
 Glide or dive 
 122 m.p.h. (106 knots)"
CG range,"Landplane (+12.5) to (+18.5) 
 Seaplane 
 (+15.5) to (+19.2)"
Empty weight CG range,"Landplane (+14.0) to (+19.5) (Item 307 not installed) 
 Seaplane 
 (+17.8) to (+20.2) (Item 307 not installed) 
 Landplane (+14.0) to (+18.2) (Item 307 is installed) 
 Seaplane 
 (+17.8) to (+19.2) (Item 307 is installed) 
 (NOTE - If empty weight C.G. for a particular airplane falls within range given, it is 
 not necessary to check critical fore and aft C.G. positions. These ranges not valid for 
 non-standard arrangements.)"
Maximum weights,"Landplane 1040 lb. 
 Seaplane 
 1125 lb."
No seats,2 (+18)
Maximum baggage,20 lb. (+41)
Fuel capacity,10 gal. (-13)
Oil capacity,3 qt. (-35)
Serial Nos eligible,K-2 and up mfd. prior to 12 December 1940. Approval expired as of that date.
Required equipment,"Landplane - Items 101, 102, 103 
 Seaplane 
 - Items 103, 151, 152"
Specifications Pertinent to all Models,
Datum,Wing leading edge
Leveling means,Not available
Certification basis,Approved Type Certificate No. 634 (expired) (Aero. Bulletin 7-A)
Page No,"1 
 2"
Rev No,"4 
 3"
EQUIPMENT,"A plus (+) or minus (-) sign preceding the weight of an item indicates net weight change when that item 
 is installed."
Propellers and Propeller Accessories,"103. Propeller - wood (fixed or adjustable pitch) 
 Engine and Engine Accessories - Fuel and Oil System"
Heater,"(a) Cabin 
 +2 lb. (-36) 
 (b) Carburetor air 
 +1 lb. (-35)"
Five gal aux fuel tank,"+10 lb. (+25) 
 (When installed on seaplane, placard system as follows unless proven unnecessary"
by full check of CG,"(a) At filler cap of aux. tank: ""FILL MAIN TANK FIRST."" 
 (b) At fuel valves: ""USE AUX. TANK FIRST."" 
 Fuel arm (+45). Oil capacity increased to 3 1/2 qt."
a Aeronca E113CB,"(For all operations 2500 r.p.m. (42 hp.) 
 (b) Aeronca E-113CD (For all operations 2500 r.p.m. (42 hp.) 
 (c) Aeronca E-113CDB (For all operations 2500 r.p.m. (45 hp.)"
Head oiler,1 lb. (-42)
101,"3 inch wheels (Goodyear 3LNBM, 3NBA or 3LNBA) with 16X7-3 tires 
 (-5)"
151,"Edo D-1070 floats with one water rudder 
 +87 lb. (approx 
 .)"
301,"(a) Goodyear 3LMBM or 3LMBA or 3MBA with brakes 
 +9 lb. (-5) 
 (b) Firestone (formerly Shinn) (without brakes) 
 -1 lb. (-5) 
 (c) Firestone (formerly Shinn) (with brakes) 
 +4 lb. (-5)"
302 18X83 tires and tubes,+5 lb. (-5)
312 Tail wheels,"(a) Steerable (Aircraft Associates) with 6X2.00 tire 
 +3 lb. (+170) 
 (b) Universal Alloy assembly with 5X1.75 tire 
 +3 lb. (+170) 
 (c) Modified Universal Alloy assembly with 6X2.00 tire 
 +4 lb. (+170) 
 313. Special landing gear (Dwg. 7-6, change D)"
316 Wheel streamlines,+8 lb. (-5)
319 Skis,Use actual weights
i Heath 655,351. Edo 54-1140 floats with one water rudder and either steel or dural struts.
308 Battery,13 lb. (+44)
317 Landing light Grimes ST250,5 lb. (+13)
309 Extra door,"2 lb. (+20) 
 311. Seaplane finish and corrosion proofing 
 4 lb. (+45) 
 .....END....."
